Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,LeSean McCoy,PHI,7,34,RB,RB1,null,null,null,null,null,1.8
2,Jamaal Charles,KC,6,35,RB,RB2,null,null,null,null,null,2.7
3,Adrian Peterson,MIN,10,37,RB,RB3,null,null,null,null,null,3.9
4,Eddie Lacy,GB,9,31,RB,RB4,null,null,null,null,null,5.9
5,Matt Forte,CHI,9,36,RB,RB5,null,null,null,null,null,6
6,Calvin Johnson,DET,9,36,WR,WR1,null,null,null,null,null,6.4
7,Demaryius Thomas,DEN,4,34,WR,WR2,null,null,null,null,null,7.2
8,Jimmy Graham,NO,6,35,TE,TE1,null,null,null,null,null,7.9
9,Peyton Manning,DEN,4,46,QB,QB1,null,null,null,null,null,9.4
9,Dez Bryant,DAL,11,33,WR,WR3,null,null,null,null,null,9.4
11,Montee Ball,DEN,4,31,RB,RB6,null,null,null,null,null,10.7
12,A.J. Green,CIN,4,34,WR,WR4,219,196,144.1,144.1,219,11.8
13,DeMarco Murray,DAL,11,34,RB,RB7,null,null,null,null,null,13.3
14,Julio Jones,ATL,9,33,WR,WR5,119.4,133.8,141.5,50.3,152.5,13.6
15,Brandon Marshall,CHI,9,38,WR,WR6,null,null,null,null,null,14.2
16,Marshawn Lynch,SEA,4,36,RB,RB8,null,null,null,null,null,14.4
17,Giovani Bernard,CIN,4,30,RB,RB9,298,253,170.5,140.1,298,17
18,Drew Brees,NO,6,43,QB,QB2,null,null,null,null,null,17.5
19,Antonio Brown,PIT,12,34,WR,WR7,null,null,null,null,null,18.2
20,Jordy Nelson,GB,9,37,WR,WR8,null,null,null,null,null,18.3
21,Doug Martin,TB,7,33,RB,RB10,null,null,null,null,null,19.2
22,Aaron Rodgers,GB,9,38,QB,QB3,76.8,78.8,76.6,62.1,78.8,20.8
23,Alshon Jeffery,CHI,9,32,WR,WR9,null,null,null,null,null,22.4
23,Andre Ellington,ARI,4,33,RB,RB11,null,null,null,null,null,22.4
25,Arian Foster,HOU,10,36,RB,RB12,null,null,null,null,null,24.2
26,Randall Cobb,GB,9,32,WR,WR10,214,190,155.8,151.1,215,25.1
27,Julius Thomas,DEN,4,34,TE,TE2,null,null,null,null,null,26.7
28,Shane Vereen,NE,10,33,RB,RB13,null,null,null,null,null,27.6
29,Le'Veon Bell,PIT,12,30,RB,RB14,null,null,null,null,null,28
30,Rob Gronkowski,NE,10,33,TE,TE3,null,null,null,null,null,28.2
31,Keenan Allen,LAC,10,30,WR,WR11,28.6,27.3,27.3,26.8,30.9,28.9
32,Zac Stacy,LAR,4,31,RB,RB15,null,null,null,null,null,32
33,Reggie Bush,DET,9,37,RB,RB16,null,null,null,null,null,33.2
34,Vincent Jackson,TB,7,39,WR,WR12,null,null,null,null,null,33.4
35,Alfred Morris,WAS,10,33,RB,RB17,null,null,null,null,null,34.1
36,Roddy White,ATL,9,40,WR,WR13,null,null,null,null,null,34.2
37,Andre Johnson,HOU,10,41,WR,WR14,null,null,null,null,null,35.1
38,Cordarrelle Patterson,MIN,10,31,RB,RB18,88.8,93.5,92.7,88.8,96.5,36.7
39,Rashad Jennings,NYG,8,37,RB,RB19,null,null,null,null,null,38.8
40,Pierre Garcon,WAS,10,36,WR,WR15,null,null,null,null,null,39.6
41,CJ Spiller,BUF,9,35,RB,RB20,null,null,null,null,null,41.5
42,Larry Fitzgerald,ARI,4,39,WR,WR16,null,null,null,null,null,41.8
43,Emmanuel Sanders,DEN,4,35,WR,WR17,null,null,null,null,null,42
44,Toby Gerhart,JAX,11,35,RB,RB21,null,null,null,null,null,42.8
45,Victor Cruz,NYG,8,35,WR,WR18,null,null,null,null,null,43.4
46,Matthew Stafford,DET,9,34,QB,QB4,85.9,84.3,79.6,70.7,85.9,45
47,Joique Bell,DET,9,36,RB,RB22,null,null,null,null,null,46.4
48,Michael Floyd,ARI,4,32,WR,WR19,null,null,null,null,null,47.2
49,Percy Harvin,SEA,4,34,WR,WR20,null,null,null,null,null,47.4
50,Julian Edelman,NE,10,36,WR,WR21,null,null,null,null,null,47.5
51,Ryan Mathews,LAC,10,34,RB,RB23,null,null,null,null,null,47.9
52,Michael Crabtree,SF,8,34,WR,WR22,null,null,null,null,null,48.9
