Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
666,Martavis Bryant,PIT,8,30,WR,WR229,null,null,null,null,null,657
667,Calvin Johnson,DET,10,36,WR,WR230,null,null,null,null,null,658
668,Marques Colston,NO,5,39,WR,WR231,null,null,null,null,null,659
669,Peyton Manning,DEN,11,46,QB,QB84,null,null,null,null,null,660
670,Scott Chandler,NE,9,37,TE,TE122,null,null,null,null,null,661
671,Percy Harvin,BUF,10,34,WR,WR232,null,null,null,null,null,662
672,Owen Daniels,DEN,11,39,TE,TE123,null,null,null,null,null,663
673,Heath Miller,PIT,8,39,TE,TE124,null,null,null,null,null,664
674,Ahmad Bradshaw,IND,10,36,RB,RB182,null,null,null,null,null,665
675,Malcom Floyd,LAC,11,40,WR,WR233,null,null,null,null,null,666
676,Brian Hartline,CLE,13,35,WR,WR234,null,null,null,null,null,667
677,Josh Johnson,NYG,8,36,QB,QB85,613,564,576,470,613,668
678,Matthew Slater,NE,9,36,WR,WR235,469,430,449,430,780,669
679,Jace Amaro,TEN,13,30,TE,TE125,null,null,null,null,null,670
680,Chris Gragg,BUF,10,32,TE,TE126,null,null,null,null,null,671
681,Clark Harris,CIN,9,38,LS,LS1,null,null,null,null,null,672
682,Tom Obarski,NYG,8,29,K,K39,null,null,null,null,null,673
683,Stephen Morris,IND,10,30,QB,QB86,null,null,null,null,null,674
684,Ryan Griffin,TB,6,32,QB,QB87,709,657,674,571,743,675
685,Matt Simms,ATL,11,33,QB,QB88,null,null,null,null,null,676
686,Logan Thomas,NYG,8,31,TE,TE127,359,170.4,162,110.2,359,677
687,Connor Cook,LV,10,29,QB,QB89,null,null,null,null,null,678
688,Thaddeus Lewis,SF,8,34,QB,QB90,null,null,null,null,null,679
689,Matt Blanchard,CHI,9,33,QB,QB91,null,null,null,null,null,680
690,Nate Sudfeld,WAS,9,28,QB,QB92,634,579,593,576,699,681
691,Jeff Driskel,CIN,9,29,QB,QB93,890,833,845,574,890,682
692,Kevin Hogan,KC,5,29,QB,QB94,null,null,null,null,null,683
693,Garrett Grayson,NO,5,31,QB,QB95,null,null,null,null,null,684
694,Jake Rudock,DET,10,29,QB,QB96,null,null,null,null,null,685
695,Joe Webb,CAR,7,35,QB,QB97,null,null,null,null,null,686
696,Gus Johnson,ATL,11,29,RB,RB183,null,null,null,null,null,687
697,Senorise Perry,CHI,9,30,RB,RB184,null,null,null,null,null,688
698,Dri Archer,BUF,10,31,RB,RB185,null,null,null,null,null,689
699,Dreamius Smith,LAC,11,29,RB,RB186,null,null,null,null,null,690
700,RJ Harris,NO,5,30,WR,WR236,null,null,null,null,null,691
701,Justin Blackmon,JAX,5,32,WR,WR237,null,null,null,null,null,692
702,Jake Stoneburner,LAR,8,33,TE,TE128,null,null,null,null,null,693
703,Cooper Helfet,SEA,5,33,TE,TE129,null,null,null,null,null,694
704,Garrett Graham,DEN,11,36,TE,TE130,null,null,null,null,null,695
705,Jeff Cumberland,LAC,11,35,TE,TE131,null,null,null,null,null,696
706,Michael Williams,NE,9,31,TE,TE132,null,null,null,null,null,697
707,Brian Parker,NYJ,11,30,TE,TE133,null,null,null,null,null,698
708,MarQueis Gray,MIA,8,32,TE,TE134,null,null,null,null,null,699
709,Gabe Holmes,LV,10,31,TE,TE135,null,null,null,null,null,700
710,Kennard Backman,GB,4,29,TE,TE136,null,null,null,null,null,701
711,Thomas Duarte,MIA,8,27,TE,TE137,null,null,null,null,null,702
712,Brandon Doughty,MIA,8,30,QB,QB98,null,null,null,null,null,703
713,Seth DeValve,CLE,13,29,TE,TE138,null,null,null,null,null,704
714,Keith Wenning,CIN,9,31,QB,QB99,null,null,null,null,null,705
715,Jerrod Johnson,DAL,7,34,QB,QB100,null,null,null,null,null,706
716,Dan LeFevour,TB,6,35,QB,QB101,null,null,null,null,null,707
717,Alex Tanney,TEN,13,34,QB,QB102,null,null,null,null,null,708
718,Zac Dysert,ARI,9,32,QB,QB103,null,null,null,null,null,709
719,Cyrus Gray,ATL,11,32,RB,RB187,null,null,null,null,null,710
720,Vincent Brown,NO,5,33,WR,WR238,null,null,null,null,null,711
721,Kashif Moore,KC,5,33,WR,WR239,null,null,null,null,null,712
722,Rodney Smith,SEA,5,32,WR,WR240,null,null,null,null,null,713
723,Cobi Hamilton,PIT,8,31,WR,WR241,null,null,null,null,null,714
724,Ryan Spadola,DET,10,31,WR,WR242,null,null,null,null,null,715
725,Mike Williams,KC,5,35,WR,WR243,null,null,null,null,null,716
726,Arrelious Benn,JAX,5,33,WR,WR244,null,null,null,null,null,717
727,TJ Graham,PHI,4,33,WR,WR245,null,null,null,null,null,718
728,Ifeanyi Momah,ARI,9,32,WR,WR246,null,null,null,null,null,719
729,Chris Pantale,PHI,4,32,TE,TE139,null,null,null,null,null,720
730,Tony Moeaki,CHI,9,35,TE,TE140,null,null,null,null,null,721
731,Orson Charles,DET,10,31,TE,TE141,null,null,null,null,null,722
732,Dominique Jones,MIA,8,35,TE,TE142,null,null,null,null,null,723
733,Brandon Williams,SEA,5,34,TE,TE143,null,null,null,null,null,724
734,Marcel Jensen,WAS,9,32,TE,TE144,null,null,null,null,null,725
735,Nathan Palmer,LV,10,33,WR,WR247,null,null,null,null,null,726
736,Shaquelle Evans,JAX,5,31,WR,WR248,null,null,null,null,null,727
737,LaRon Byrd,CAR,7,33,WR,WR249,null,null,null,null,null,728
738,Kyle Williams,NYJ,11,34,WR,WR250,null,null,null,null,null,729
739,Marcus Lucas,SEA,5,30,WR,WR251,null,null,null,null,null,730
740,Tim Wright,DET,10,32,TE,TE145,null,null,null,null,null,731
741,Bernard Pierce,NYJ,11,32,RB,RB188,null,null,null,null,null,732
742,Bear Pascoe,NE,9,36,TE,TE146,null,null,null,null,null,733
743,Chase Coffman,IND,10,35,TE,TE147,null,null,null,null,null,734
744,BJ Daniels,CHI,9,32,QB,QB104,null,null,null,null,null,735
745,Darrel Young,CHI,9,35,FB,RB189,null,null,null,null,null,736
746,Lance Moore,ATL,11,39,WR,WR252,null,null,null,null,null,737
747,Nikita Whitlock,NYG,8,31,RB,RB190,null,null,null,null,null,738
748,Zach Hocker,CIN,9,31,K,K40,null,null,null,null,null,739
749,Lache Seastrunk,NYJ,11,31,RB,RB191,null,null,null,null,null,740
750,Christian Ponder,SF,8,34,QB,QB105,null,null,null,null,null,741
751,Antone Smith,NYJ,11,36,RB,RB192,null,null,null,null,null,742
752,Dylan Thompson,LAR,8,28,QB,QB106,null,null,null,null,null,743
753,Terrence Magee,LAR,8,28,RB,RB193,null,null,null,null,null,744
754,Antwan Goodley,SEA,5,30,WR,WR253,null,null,null,null,null,745
755,Da'Ron Brown,KC,5,30,WR,WR254,null,null,null,null,null,746
756,Freddie Martino,TB,6,30,WR,WR255,null,null,null,null,null,747
757,Issac Blakeney,PIT,8,29,WR,WR256,null,null,null,null,null,748
758,Rashaun Allen,PIT,8,32,TE,TE148,null,null,null,null,null,749
759,Geoff Swaim,DAL,7,28,TE,TE149,435,391,394,391,435,750
760,Brad Sorensen,MIN,6,34,QB,QB107,null,null,null,null,null,751
761,D.J. Foster,NE,9,28,RB,RB194,null,null,null,null,null,753
762,Nelson Spruce,LAR,8,29,WR,WR257,null,null,null,null,null,754
763,James Wilder,BUF,10,30,RB,RB195,null,null,null,null,null,755
764,Darius Jackson,DAL,7,28,RB,RB196,null,null,null,null,null,756
765,Josh Boyce,CLE,13,31,WR,WR258,null,null,null,null,null,757
766,Pittsburgh Steelers,PIT,8,null,DST,DST15,166.9,153.1,154.5,137.4,170,780
767,Jacksonville Jaguars,JAX,5,null,DST,DST16,192,192,192,192,192,784
768,Tampa Bay Buccaneers,TB,6,null,DST,DST17,150.2,131.5,129.3,123,150.2,785
769,Buffalo Bills,BUF,10,null,DST,DST18,124,112.5,111.9,111.9,139,786
770,Washington Commanders,WAS,9,null,DST,DST19,160.5,157.1,151.6,151.6,171.6,787
771,Miami Dolphins,MIA,8,null,DST,DST20,162.2,168.6,165.8,148.1,173,788
772,New York Giants,NYG,8,null,DST,DST21,180,180,180,180,180,789
773,Los Angeles Chargers,LAC,11,null,DST,DST22,183.5,145.9,147.6,145.9,183.5,790
774,Chicago Bears,CHI,9,null,DST,DST23,159.4,159.4,161.3,143,179,791
775,Baltimore Ravens,BAL,8,null,DST,DST24,193.1,167.2,170,151.8,193.1,792
776,Indianapolis Colts,IND,10,null,DST,DST25,173.4,137.7,136.8,136.4,173.4,793
777,Detroit Lions,DET,10,null,DST,DST26,148.9,148.9,148.9,143.5,189,794
778,Atlanta Falcons,ATL,11,null,DST,DST27,187,187,187,187,187,795
779,Tennessee Titans,TEN,13,null,DST,DST28,164.6,164.6,155.8,155.8,186,796
780,New Orleans Saints,NO,5,null,DST,DST29,184.4,147.1,146.8,139.2,184.4,797
781,Cleveland Browns,CLE,13,null,DST,DST30,163.6,168.2,168.9,158.9,176.8,798
782,San Francisco 49ers,SF,8,null,DST,DST31,153.1,139.9,139.8,137.3,153.1,799
783,Dallas Cowboys,DAL,7,null,DST,DST32,155.1,156.5,155,151.8,182,800
