Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Todd Gurley II,LAR,12,28,RB,RB1,null,null,null,null,null,1.3
2,Le'Veon Bell,PIT,7,30,RB,RB2,null,null,null,null,null,3.1
3,David Johnson,ARI,9,30,RB,RB3,null,null,null,null,null,3.3
4,Ezekiel Elliott,DAL,8,27,RB,RB4,25.5,26.7,26.6,23.9,26.7,4.6
5,Antonio Brown,PIT,7,34,WR,WR1,null,null,null,null,null,4.7
6,Alvin Kamara,NO,6,27,RB,RB5,12,16.1,18,8.6,18.7,5.7
7,Saquon Barkley,NYG,9,25,RB,RB6,16.4,18.1,18.8,16.4,39.6,6.9
8,Leonard Fournette,JAX,9,27,RB,RB7,21.8,23.3,24.2,21.8,49.4,8.8
9,Melvin Gordon III,LAC,8,29,RB,RB8,85.2,89.1,86.3,78.6,89.1,9.3
10,DeAndre Hopkins,HOU,10,30,WR,WR2,90.7,53.6,50.9,26.5,90.7,9.5
11,Kareem Hunt,KC,12,27,RB,RB9,66.8,70.2,69.1,65.1,75.5,11
12,Odell Beckham Jr.,NYG,9,29,WR,WR3,null,null,null,null,null,11.5
13,Christian McCaffrey,CAR,4,26,RB,RB10,2,2,2,2,9.1,12.6
14,Julio Jones,ATL,8,33,WR,WR4,119.4,133.8,141.5,50.3,152.5,14.3
15,Dalvin Cook,MIN,10,27,RB,RB11,7.3,7.8,7.9,2.3,7.9,15.1
16,Michael Thomas,NO,6,29,WR,WR5,50,49.8,52.6,37.8,54,16.2
17,Keenan Allen,LAC,8,30,WR,WR6,28.6,27.3,27.3,26.8,30.9,17.6
18,Davante Adams,GB,7,29,WR,WR7,11.7,11.7,11.3,10.2,12,18.1
19,Devonta Freeman,ATL,8,30,RB,RB12,null,null,null,null,null,19.5
20,Jordan Howard,CHI,5,27,RB,RB13,null,null,null,null,null,20
21,A.J. Green,CIN,9,34,WR,WR8,219,196,144.1,144.1,219,21.3
22,Rob Gronkowski,NE,11,33,TE,TE1,null,null,null,null,null,21.5
23,Joe Mixon,CIN,9,26,RB,RB14,9.9,10.2,10.1,2.2,26.8,22.8
24,Tyreek Hill,KC,12,28,WR,WR9,23.2,22.8,22.1,17.8,23.2,24
25,Mike Evans,TB,5,29,WR,WR10,24.9,25.1,24.1,22.5,28.8,25.5
26,Stefon Diggs,MIN,10,28,WR,WR11,13.8,13.3,13.3,13.1,18.6,25.6
27,T.Y. Hilton,IND,9,32,WR,WR12,null,null,null,null,null,27
28,Royce Freeman,DEN,10,26,RB,RB15,352,300,291,270,352,27.8
29,Travis Kelce,KC,12,32,TE,TE2,15.1,15.3,14.9,12.5,15.4,28.2
30,LeSean McCoy,BUF,11,34,RB,RB16,null,null,null,null,null,29.8
31,Aaron Rodgers,GB,7,38,QB,QB1,76.8,78.8,76.6,62.1,78.8,30
32,Alex Collins,BAL,10,28,RB,RB17,null,null,null,null,null,30.9
33,Amari Cooper,LV,7,28,WR,WR13,79.3,75.7,72.1,44.8,79.3,31
34,Kenyan Drake,MIA,11,28,RB,RB18,860,158,156.2,156.2,860,32
35,Adam Thielen,MIN,10,32,WR,WR14,62.4,63.6,62.3,55.7,63.6,33.5
36,Larry Fitzgerald,ARI,9,39,WR,WR15,null,null,null,null,null,35.2
37,Lamar Miller,HOU,10,31,RB,RB19,null,null,null,null,null,36.6
38,Doug Baldwin,SEA,7,33,WR,WR16,null,null,null,null,null,38.4
39,Zach Ertz,PHI,9,31,TE,TE3,91,96.6,96.9,91,138,38.9
40,Jarvis Landry,CLE,11,29,WR,WR17,176.2,136.1,132.6,111,176.2,39
41,JuJu Smith-Schuster,PIT,7,25,WR,WR18,74.6,83.4,88.7,74.6,117.4,39.4
42,Derrick Henry,TEN,8,28,RB,RB20,4.1,4.1,4,1.7,4.3,41
43,Chris Hogan,NE,11,34,WR,WR19,null,null,null,null,null,42.1
44,Jay Ajayi,PHI,9,29,RB,RB21,null,null,null,null,null,44
45,Josh Gordon,CLE,11,31,WR,WR20,433,333,337,315,433,44.1
46,Golden Tate,DET,6,34,WR,WR21,null,null,null,null,null,45.5
47,Deshaun Watson,HOU,10,26,QB,QB2,182.2,129.9,128.2,98.2,182.2,46.5
48,Mark Ingram II,NO,6,32,RB,RB22,145.6,125.3,122.7,119.4,162.4,47.2
49,Demaryius Thomas,DEN,10,34,WR,WR22,null,null,null,null,null,47.3
50,Marquise Goodwin,SF,11,31,WR,WR23,382,328,327,242,425,48.3
51,Jimmy Graham,GB,7,35,TE,TE4,null,null,null,null,null,48.4
52,Tom Brady,NE,11,45,QB,QB3,85.5,92,90.4,85.5,141.9,50.9
53,Carlos Hyde,JAX,9,31,RB,RB23,null,null,null,null,null,51.6
54,Brandin Cooks,LAR,12,28,WR,WR24,55.8,56.1,56.4,55.3,58.3,52
55,Marshawn Lynch,LV,7,36,RB,RB24,null,null,null,null,null,52.5
56,Allen Robinson II,CHI,5,29,WR,WR25,54.3,56.8,59.9,54.3,81.4,53.6
57,Dion Lewis,TEN,8,31,RB,RB25,null,null,null,null,null,55.1
58,Jamaal Williams,GB,7,27,RB,RB26,119.1,132.8,134,119.1,134,56.7
59,Greg Olsen,CAR,4,37,TE,TE5,null,null,null,null,null,57.1
60,Emmanuel Sanders,DEN,10,35,WR,WR26,null,null,null,null,null,57.9
61,Russell Wilson,SEA,7,33,QB,QB4,71.7,77.7,80.9,71.7,91.5,61
62,Corey Davis,TEN,8,27,WR,WR27,202,180,185.2,105.4,202,61.2
63,Marvin Jones Jr.,DET,6,32,WR,WR28,200,164.9,173.2,158.7,200,61.9
64,Kerryon Johnson,DET,6,25,RB,RB27,null,null,null,null,null,62.9
65,Trey Burton,CHI,5,30,TE,TE6,null,null,null,null,null,63.4
66,Rex Burkhead,NE,11,32,RB,RB28,230,209,168.1,159.5,237,64.9
67,Drew Brees,NO,6,43,QB,QB5,null,null,null,null,null,65.9
68,Julian Edelman,NE,11,36,WR,WR29,null,null,null,null,null,67.1
69,Chris Carson,SEA,7,27,RB,RB29,1015,954,961,90.9,1015,67.2
70,Peyton Barber,TB,5,28,RB,RB30,null,null,null,null,null,68.5
71,Cam Newton,CAR,4,33,QB,QB6,null,null,null,null,null,69.4
72,Evan Engram,NYG,9,28,TE,TE7,331,160.9,162.7,113.5,331,69.6
73,Michael Crabtree,BAL,10,34,WR,WR30,null,null,null,null,null,70.9
74,William Fuller V,HOU,10,28,WR,WR31,null,null,null,null,null,73.2
75,Cooper Kupp,LAR,12,29,WR,WR32,5.6,5.4,4,3.1,5.7,74.7
76,Kyle Rudolph,MIN,10,32,TE,TE8,406,143.6,150.7,143.6,406,75.1
77,Chris Thompson,WAS,4,31,RB,RB31,null,null,null,null,null,75.3
78,Delanie Walker,TEN,8,38,TE,TE9,null,null,null,null,null,76.2
79,Tevin Coleman,ATL,8,29,RB,RB32,314,270,269,269,344,76.6
80,Adrian Peterson,WAS,4,37,RB,RB33,null,null,null,null,null,79.5
81,Kirk Cousins,MIN,10,34,QB,QB7,106.9,117.4,118.4,106.9,125.6,80.3
82,Jamison Crowder,WAS,4,29,WR,WR33,220,194,175.4,157.8,220,81.6
83,Alshon Jeffery,PHI,9,32,WR,WR34,null,null,null,null,null,82.7
84,Andrew Luck,IND,9,32,QB,QB8,null,null,null,null,null,83.1
85,Sony Michel,NE,11,27,RB,RB34,177.9,160.1,153,83.9,242,84.1
86,Tarik Cohen,CHI,5,27,RB,RB35,null,null,null,null,null,85.4
